new_primary_key,Misc_Comments,Zip_Code,Q25_Sold_Info_Loan_Type,Q25_Sold_Info_Loan_Type_TEXT,Q4_Solar_Panels__KW,Q5_Solar_Panels_Ownership,Q6_Prepaid_or_Zerodown,Q7_Lease_Payment_Monthly,Q8_Solar_Installer_Name,Q9_Prepay_Stipulation,Q10_1_Matrix_Good_Environment,Q10_2_Matrix_Climate_Change_Concern,Q10_3_Matrix_Cleaner_Energy,Q10_4_Matrix_Lower_Electric_Bills,Q10_5_Matrix_Net_Metering_Profit,Q10_6_Matrix_Rent_Property,Q10_7_Matrix_Neighbor_Bob,Q10_8_Matrix_Maintenance_Repair,Q10_9_Matrix_Add_Value_to_Home,Q10_10_Matrix_Go_Off_Grid,Q18_Storage_Familiar,Q19_1_Storage_Usage_Backup,Q19_2_Storage_Usage_LoadShifting,Q19_3_Storage_Usage_OffGrid,Q26_Storage_Influence_HomePurchase,Q20_Storage_Likelyhood_to_Buy_Batteries,Q14_Demographics_Gender,Q13_Demographics_Age,Q17_Demographics_Income_Range,Q17 Income_Range_Holder,Q15_Demographics_Race_Ethnicity,Q15_TEXT_Demographics_Race_Ethnicity,Q16_Demographics_Education,Q11_Qual_Question_1,Q12_Qual_Question_2
1151,Note: Monthly payment is $41 or $48 depending on autopay status.,85212,b) FHA,,,a) Leased solar,a) Took over payments on the lease,41,SunPower,"a) Yes, this was a stipulation",Very positive,Neutral,Very positive,Very positive,Neutral,Neutral,Neutral,Somewhat positive,Somewhat positive,Neutral,b) Somewhat familiar,3,1,2,c) More likely to buy,d) Somewhat Likely,Female,26,"$50,000 â€“ $59,999",50,White,,Bachelor degree,"We love having solar power, but we very much dislike the company the lease is through. We could not (and have not) confidently recommended leasing solar panels. Other than that, most everything has been great. We love having lower energy bills. We have an electric car that we charge at home and it doesn't cost anything. We purposely purchased electric appliances for our kitchen and laundry in order to maximize the use of our solar panels. ",
1155,,85048,a) Conventional,,,b) Owned solar,c) System is owned,,,,Somewhat positive,Neutral,Somewhat positive,Somewhat positive,Neutral,Neutral,Neutral,Neutral,Somewhat positive,Somewhat positive,d) Vaguely familiar,1,2,3,b) No influence,c) Undecided,Female,42,"$100,000 or more",100,White,,Graduate degree,Yes... we get extended use of our pool on both ends of the season.,
1166,,85298,a) Conventional,,,b) Owned solar,c) System is owned,,,,Neutral,Neutral,Neutral,Somewhat positive,Somewhat positive,Neutral,Somewhat positive,Somewhat negative,Somewhat positive,Neutral,e) Never heard of it,2,1,3,b) No influence,c) Undecided,Male,34,"$100,000 or more",100,White,,Graduate degree,Sure. Very low expectations. Bought house for everything else it offered. Solar was just a bonus.,Added cost from energy company almost wiped out everything I produced last bill. Gonna monitor - but that SUCKS. (emphasis added by respondent) 
1180,,85383,d) Cash,,2.2,b) Owned solar,c) System is owned,,,,Very positive,Very positive,Very positive,Very positive,Neutral,Neutral,Very positive,Neutral,Somewhat positive,Neutral,b) Somewhat familiar,2,1,3,b) No influence,b) Unlikely,Male,65,,,White,,Graduate degree,"Yes, but I wish it were larger. (higher KW)",
1185,,85207,e) Other,,10.08,b) Owned solar,c) System is owned,,Dependable Solar,,Somewhat positive,Somewhat positive,Very positive,Very positive,Somewhat positive,Neutral,Neutral,Neutral,Very positive,Neutral,c) A Little familiar,2,1,3,b) No influence,b) Unlikely,Female,48,"$90,000 â€“ $99,999",90,White,,Trade/technical/vocational training,Yes very good with helping in cost. / It has been a good purchase.,
1192,,85021,a) Conventional,,,a) Leased solar,a) Took over payments on the lease,110.86,Solar City,"b) No, this was not a stipulation",Very positive,Somewhat positive,Very positive,Very positive,Somewhat positive,Neutral,Neutral,Neutral,Very positive,Neutral,d) Vaguely familiar,,1,,c) More likely to buy,c) Undecided,Male,59,"$100,000 or more",100,White,,"High school graduate, diploma or equivalent (for example: GED)",Undecided,I like the solar in it also heats water
1201,,85028,a) Conventional,,14,b) Owned solar,c) System is owned,,Green Fuel Technologies,,Neutral,Neutral,Neutral,Very positive,Neutral,Neutral,Neutral,Very negative,Neutral,Somewhat positive,b) Somewhat familiar,2,1,3,b) No influence,a) Very Unlikely,Male,48,"$100,000 or more",100,White,,Bachelor degree,Not really only offsets about $150/month so it would be about 40 year payback.,More expensive roof maintenance / Does not produce rated KW / Should not be subsidized by government or utilities
1217,,85351,a) Conventional,,4.3,a) Leased solar,a) Took over payments on the lease,86.67,NRG,"b) No, this was not a stipulation",Very positive,Very positive,Very positive,Very positive,Very positive,Neutral,Neutral,Neutral,Somewhat positive,Neutral,e) Never heard of it,1,2,3,b) No influence,c) Undecided,Female,55,"$60,000 â€“ $69,999",60,White,,Bachelor degree,"Yes, APS bill for 1500+ sq ft home has been just $22-28 during the Jun-Jul-Aug bills, so the solar is a bargain. Neighbors in similar homes are paying over $200/mo without solar. ",Solar was not something on my must-have list when looking for a home. It was more of a bonus that the home I chose happened to have solar. I would now definitely seek solar if I were ever to purchase a different home. 
1228,"Progressive, 155 now + 250 in 15 yrs when system is paid off.",85375,a) Conventional,,9.56,a) Leased solar,a) Took over payments on the lease,155,NRG,"b) No, this was not a stipulation",Neutral,Very negative,Neutral,Neutral,Neutral,Very negative,Neutral,Neutral,Neutral,Somewhat positive,b) Somewhat familiar,,,1,b) No influence,c) Undecided,Male,75,"$60,000 â€“ $69,999",60,White,,Some college but no degree,I have no data as to what my APS bill would be if I did not have solar,"From talking to people, not convinced that solar lease is worth it, purchasing was not an option when I purchased the house 1.5 years ago. I have no data available, do not trust APS or the solar company."
1249,,85374,a) Conventional,,,b) Owned solar,c) System is owned,,,,Neutral,Neutral,Neutral,Very positive,Neutral,Neutral,Neutral,Neutral,Somewhat positive,Neutral,c) A Little familiar,,1,,b) No influence,c) Undecided,Female,68,"$90,000 â€“ $99,999",90,White,,Bachelor degree,,
1250,,85296,a) Conventional,,,a) Leased solar,b) Lease was pre-paid,,SunRun,"b) No, this was not a stipulation",Neutral,Neutral,Neutral,Very positive,Very positive,Neutral,Neutral,Neutral,Somewhat positive,Neutral,e) Never heard of it,2,1,3,b) No influence,c) Undecided,Male,32,"$100,000 or more",100,White,,Bachelor degree,Somewhat. Prior owner indicated bills consistently below $50. We've experienced bills lower than that amount in approximately 4 of the last 12 months.,
1252,,85373,b) FHA,,,a) Leased solar,b) Lease was pre-paid,,Sungevity,"b) No, this was not a stipulation",Very positive,Neutral,Somewhat positive,Very positive,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,e) Never heard of it,,1,,b) No influence,c) Undecided,Female,31,"$70,000 â€“ $79,999",70,White,,"High school graduate, diploma or equivalent (for example: GED)",,I love the solar system we have. I have also had only positive experiences with Sungevity. They are a great company. 
1264,,85339,a) Conventional,,,a) Leased solar,b) Lease was pre-paid,,,,Very positive,Very positive,Very positive,Very positive,Neutral,Somewhat negative,Very negative,Neutral,Very positive,Very negative,,,,1,c) More likely to buy,c) Undecided,Female,55,"$70,000 â€“ $79,999",70,White,,Associate degree,Yes lower electric bills,
1269,,85374,a) Conventional,,6.867,a) Leased solar,a) Took over payments on the lease,139,SunPower,"b) No, this was not a stipulation",Somewhat positive,Somewhat negative,Somewhat positive,Somewhat positive,Neutral,Neutral,Neutral,Somewhat negative,Neutral,Neutral,e) Never heard of it,3,1,2,c) More likely to buy,c) Undecided,Male,67,"$40,000 â€“ $49,999",40,White,,Graduate degree,Generally positive.,Worry about roof integrity and damage to panels and maintenance issues.
1275,,85042,b) FHA,,5.299,a) Leased solar,b) Lease was pre-paid,,SunRun,,Very positive,Very positive,Very positive,Very positive,Very positive,Somewhat positive,Neutral,Somewhat positive,Very positive,Very positive,e) Never heard of it,3,1,2,c) More likely to buy,c) Undecided,Female,39,"$80,000 â€“ $89,999",80,White,,Associate degree,No. I thought there would be even more savings and less need for SRP. ,
1282,,85340,a) Conventional,,6.8,a) Leased solar,a) Took over payments on the lease,131.34,Solar City,c) I don't know,Very positive,Very positive,Very positive,Very positive,Very positive,Neutral,Neutral,Somewhat positive,Neutral,Neutral,d) Vaguely familiar,1,2,3,c) More likely to buy,c) Undecided,Male,30,"$100,000 or more",100,White,,Graduate degree,Yes.  The system is meeting expectations with no issues in the past 1.5 years we have owned the home.  Through APS the solar credits we earn each month allow us to run our AC at high peak hours with little effect on our bill or being charged at peak rates.  I enjoy tracking our solar use through Solar City's website.  ,"Many complain that solar hurts re-sale value but we plan to stay in this house long term so it was of little concern.  While I would rather own them, the up front costs is pretty significant and I would rather have a company having to maintain them with no charge to me if something does go wrong.  We are thinking about expanding to another row(s) of panels on our current system which would likely put us near 100% solar for our house.  "
1285,,85383,a) Conventional,,1.5,b) Owned solar,c) System is owned,,Echo,,Somewhat positive,Neutral,Somewhat positive,Very positive,Neutral,Neutral,Somewhat positive,Very positive,Somewhat positive,Neutral,b) Somewhat familiar,2,1,3,b) No influence,b) Unlikely,Male,,"$100,000 or more",100,White,,Some college but no degree,"Yes, it is a nice benefit. Lowered electric bills by $100-$150 / month.",The phone app is a very nice addition to the system. It also produces hot water and exchanges air if the outside temp is cooler than the house.
1286,,85085,a) Conventional,,,a) Leased solar,a) Took over payments on the lease,175,NRG,"b) No, this was not a stipulation",Very positive,Somewhat positive,Very positive,Very positive,Very positive,Neutral,Neutral,Neutral,Somewhat positive,Neutral,e) Never heard of it,,1,,b) No influence,c) Undecided,Male,62,"$100,000 or more",100,White,,Bachelor degree,Yes - lower monthly electric utility bills.,"The lease payment was a little ""daunting"" at first but when looking at overall electric costs - it became favorable."
1291,,85339,d) Cash,,15,b) Owned solar,c) System is owned,,Solar City,,Very positive,Very positive,Very positive,Very positive,Very positive,Neutral,Neutral,Neutral,Very positive,Neutral,a) Very familiar,1,1,1,c) More likely to buy,e) Very Likely,Male,61,"$90,000 â€“ $99,999",90,White,,Graduate degree,Yes cutting costs,I would never buy another home without solar / (respondent lists name and address)
1293,,85396,c) VA,,,b) Owned solar,c) System is owned,,,,Neutral,Somewhat positive,Neutral,Very positive,Neutral,Neutral,Neutral,Neutral,Very positive,Neutral,e) Never heard of it,,,,,,,,,,,,,,
1294,,85258,d) Cash,,,b) Owned solar,c) System is owned,,,,Neutral,Neutral,Neutral,Somewhat positive,Neutral,Neutral,Neutral,Neutral,Somewhat positive,Neutral,e) Never heard of it,,,,,,Male,73,"$100,000 or more",100,White,,Bachelor degree,Or until recently - Pool & spa maintenance guy left the spa on for an entire week when I was on vacation - it blew out a computer board on solar system and cost me $600 - there goes my savings!!,"Respondent write-in for Climate Change question: ""Myth"""
1297,,85331,c) VA,,,b) Owned solar,c) System is owned,,Sun Earth,"a) Yes, this was a stipulation",Very positive,Very positive,Very positive,Very positive,Neutral,Neutral,Very positive,Somewhat positive,Somewhat positive,Very positive,a) Very familiar,2,1,3,c) More likely to buy,d) Somewhat Likely,Female,55,"$100,000 or more",100,Other or multiple race/ethnicity,Hispanic or Latino & White,Graduate degree,"Yes, but I had to learn how to program, check and monitor unit. ",I would like to add solar heating to my swimming pool and more panels for more solar power!
1309,,85020,a) Conventional,,7.4,b) Owned solar,c) System is owned,,Solar Volt,,Somewhat positive,Neutral,Somewhat positive,Very positive,Somewhat positive,Neutral,Neutral,Somewhat negative,Very positive,Somewhat positive,b) Somewhat familiar,2,1,3,c) More likely to buy,c) Undecided,Male,31,"$100,000 or more",100,White,,Bachelor degree,"Yes, I have had to replace a couple microinverters (note: each solar panel has it's own inverter) due to failure. I simply call Enphase and they send and RMA  with new microinverter free of charge. ",
1320,,85298,c) VA,,,b) Owned solar,c) System is owned,,,,Very positive,Very positive,Very positive,Very positive,Neutral,Neutral,Neutral,Neutral,Somewhat positive,Very positive,d) Vaguely familiar,1,,,b) No influence,b) Unlikely,Female,52,"$100,000 or more",100,White,,Bachelor degree,No. Installation of solar panel caused leak in roof.,"Solar water heater only. Interested in going all solar, but concerned about the cost. Also concerned that SRP is now charging solar customers more."
1324,,85355,d) Cash,,,a) Leased solar,b) Lease was pre-paid,,Solar City,"b) No, this was not a stipulation",Somewhat positive,Neutral,Somewhat positive,Very positive,Somewhat positive,Neutral,Neutral,Neutral,Somewhat positive,Neutral,d) Vaguely familiar,1,3,2,b) No influence,c) Undecided,Male,71,"$40,000 â€“ $49,999",40,White,,Associate degree,Yes. Lower energy cost.,
1329,,85396,a) Conventional,,2,b) Owned solar,c) System is owned,,,,Somewhat positive,Somewhat positive,Somewhat positive,Very positive,Very positive,Neutral,Somewhat positive,Somewhat positive,Very positive,Neutral,e) Never heard of it,1,2,3,b) No influence,a) Very Unlikely,Male,65,"$80,000 â€“ $89,999",80,White,,Graduate degree,Yes - definitely kept electric costs down compared to other folks who don't have solar.,"Energy plans and setups for solar integration are very confusing. You are at the mercy of electric company for operation. Then again, you are at the mercy of maintenance services if it goes down. "
1342,,85339,d) Cash,,,a) Leased solar,b) Lease was pre-paid,0,,"b) No, this was not a stipulation",Very positive,Very positive,Very positive,Very positive,Very positive,Neutral,Neutral,Neutral,Very positive,Neutral,e) Never heard of it,1,,,c) More likely to buy,d) Somewhat Likely,Female,76,"$20,000 - $29,999",20,Prefer not to answer,,Associate degree,Summer cooling bills are reasonable.,Another 1st for me. Solar is the way to go with all the sun we have in this area.
1348,,85383,d) Cash,,2,b) Owned solar,c) System is owned,,,"b) No, this was not a stipulation",Very positive,Neutral,Very positive,Very positive,Somewhat positive,Neutral,Neutral,Neutral,Somewhat positive,Neutral,d) Vaguely familiar,2,1,3,c) More likely to buy,c) Undecided,Male,63,,,White,,Graduate degree,Not entirely. Doesn't generate as much as expected.,
1362,,85258,a) Conventional,,5,b) Owned solar,c) System is owned,,Allwest Energy,,Somewhat positive,Somewhat positive,Somewhat positive,Somewhat positive,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,d) Vaguely familiar,3,1,2,c) More likely to buy,c) Undecided,Male,56,"$100,000 or more",100,White,,Graduate degree,"Yes, no issues.",
1363,,85283,a) Conventional,,3.2,b) Owned solar,c) System is owned,,American Solar,,Very positive,Very positive,Very positive,Somewhat positive,Neutral,Neutral,Somewhat positive,Neutral,Somewhat positive,Neutral,d) Vaguely familiar,,1,,c) More likely to buy,c) Undecided,Male,38,"$90,000 â€“ $99,999",90,White,,Graduate degree,"Yes, we are positively surprised about the performance & economic impact.",Good luck with your research. Please let us know what you find out!
1365,,85297,a) Conventional,,,a) Leased solar,b) Lease was pre-paid,,NRG,c) I don't know,Very positive,Very positive,Very positive,Very positive,Very positive,Neutral,Neutral,Neutral,Neutral,Neutral,e) Never heard of it,2,1,3,b) No influence,b) Unlikely,Female,31,"$100,000 or more",100,White,,Graduate degree,"Yes, it is very convenient and saves money, and we hope it is also helping the environment.",n/a
1373,,85286,a) Conventional,,,b) Owned solar,c) System is owned,,,,Very positive,Neutral,Very positive,Very positive,Very positive,Neutral,Neutral,Neutral,Very positive,Neutral,e) Never heard of it,1,3,3,c) More likely to buy,c) Undecided,Female,44,"$70,000 â€“ $79,999",70,Hispanic or Latino,,Graduate degree,Yes. This is a customer value,#NAME?
1384,,85351,d) Cash,,,b) Owned solar,c) System is owned,,Solar City,,Very positive,Neutral,Somewhat positive,Very positive,Neutral,Neutral,Neutral,Somewhat negative,Neutral,Neutral,d) Vaguely familiar,2,1,3,b) No influence,b) Unlikely,Female,66,"$60,000 â€“ $69,999",60,White,,Bachelor degree,"The solar was a plus on a house we loved. Now, I love our utility bills. I love that it helps the environment.","I think it added about $20,000 to the price of the house, but since it was already installed and working it was a plus. Didn't realize how nice it would be. We've had no problems and no upkeep to it."
1394,,85396,d) Cash,,,b) Owned solar,c) System is owned,,,,Neutral,Neutral,Neutral,Somewhat positive,Neutral,Neutral,Neutral,Somewhat negative,Neutral,Neutral,b) Somewhat familiar,1,2,3,a) Less likely to buy,a) Very Unlikely,Male,65,"$100,000 or more",100,White,,Bachelor degree,No - hard to determine the impact on our power bill,If it wasn't for subsidies and government mandates - solar would not be close to being economical. The opportunity cost of money spend (subsidized) on solar is substantial and probably overall negative for the environment.  / ie. just like ethanol. 
1401,,85375,a) Conventional,,,b) Owned solar,c) System is owned,,,,Very positive,Neutral,Very positive,Very positive,Very positive,Neutral,Neutral,Neutral,Very positive,Neutral,c) A Little familiar,,1,,b) No influence,a) Very Unlikely,Male,63,"$100,000 or more",100,,,Bachelor degree,Yes,
1402,,85087,a) Conventional,,,a) Leased solar,a) Took over payments on the lease,86.45,Solar City,"b) No, this was not a stipulation",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,e) Never heard of it,1,2,3,b) No influence,c) Undecided,Female,49,"$100,000 or more",100,White,,Bachelor degree,We've enjoyed having low electricity costs. We had not considered solar before. ,
1404,,85201,d) Cash,,,b) Owned solar,c) System is owned,,,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,e) Never heard of it,3,1,2,c) More likely to buy,b) Unlikely,Male,22,"$40,000 â€“ $49,999",40,White,,Some college but no degree,It doesn't work / inoperable,It isn't solar anymore. Hasn't worked in years. Even before I bought it.
1413,Duplicate responses. Merged Q11 and Q12 info. ,85085,a) Conventional,,5,b) Owned solar,c) System is owned,,Salt River Solar,,Very positive,Somewhat positive,Very positive,Very positive,Neutral,Neutral,Very positive,Neutral,Very positive,Somewhat positive,b) Somewhat familiar,2,1,3,c) More likely to buy,d) Somewhat Likely,Male,63,"$100,000 or more",100,White,,Graduate degree,"Lower utility bills are great
Definitely. Lowered bills a great deal.",Both of our sons work in the solar industry. 
1419,,85086,a) Conventional,,,b) Owned solar,c) System is owned,,Solar City,,Very positive,Somewhat positive,Very positive,Very positive,Neutral,Neutral,Neutral,Somewhat negative,Very positive,Neutral,e) Never heard of it,,1,,c) More likely to buy,c) Undecided,Female,46,"$100,000 or more",100,White,,Graduate degree,Yes it has. But your survey told me I needed to learn more details about the product I currently have and future options - thanks!,
1423,,85259,a) Conventional,,,a) Leased solar,a) Took over payments on the lease,56,Solar City,"b) No, this was not a stipulation",Somewhat positive,Neutral,Somewhat positive,Very positive,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,e) Never heard of it,,1,,b) No influence,b) Unlikely,Male,30,"$100,000 or more",100,White,,Bachelor degree,"Yes, has lowered electricity bill significantly and no maintenance so far. ",
1466,,85207,a) Conventional,,3.29,a) Leased solar,b) Lease was pre-paid,,NRG Home Solar,c) I don't know,Neutral,Neutral,Very positive,Very positive,Somewhat positive,Neutral,Somewhat positive,Neutral,Very positive,Neutral,e) Never heard of it,1,2,3,b) No influence,b) Unlikely,Male,26,"$60,000 â€“ $69,999",60,White,,Bachelor degree,"Yes, it has been amazing to compare our electricity bill to others with the same size house.",
1481,,85205,d) Cash,,6,b) Owned solar,c) System is owned,,Solartrane,,Neutral,Neutral,Neutral,Very positive,Very positive,Neutral,Neutral,Somewhat negative,Somewhat positive,Somewhat positive,e) Never heard of it,2,1,3,b) No influence,a) Very Unlikely,Female,44,"$30,000 â€“ $39,999",30,White,,Bachelor degree,"No, bills are still extremely high in the summer. I was expecting to be under $100 and I average $130 a month. During the winter, it is great, bill is $18",
1518,,85248,a) Conventional,,5,a) Leased solar,b) Lease was pre-paid,,SunPower,"b) No, this was not a stipulation",Very positive,Neutral,Somewhat positive,Very positive,Neutral,Neutral,Neutral,Neutral,Somewhat positive,Neutral,e) Never heard of it,,1,,b) No influence,c) Undecided,Female,54,"$100,000 or more",100,White,,Bachelor degree,Yes we have seen lower energy bills.,
